36384,5048,4.0,5.56967,9.060912,6.58,6.58
24768,5051,5.0,5.762643,6.612034,6.54,5.8761406
8724,5310,5.0,4.492876,4.705739,5.5,5.5
16257,2580,5.0,3.933257,4.5012484,3.8113422,3.9472365
35900,9534,4.0,4.92,4.92,4.92,4.92
38692,7853,5.0,4.2465973,4.6367598,4.163105,4.069565
4321,1869,2.0,5.028451,5.489026,5.79,5.79
37577,4627,5.0,4.7323737,5.6948767,4.6339746,4.780385
14074,8960,5.0,7.0,7.0,7.0,7.0
34371,10508,4.0,4.9307957,5.515154,5.79,5.2898016
22024,749,4.0,4.993824,7.1684265,6.04,4.852074
20430,11080,4.0,4.7135835,6.3969154,6.04,5.0032077
1104,10528,4.0,4.674285,5.1975555,5.3,5.3
27622,96,4.0,4.355953,5.383271,4.99,4.99
35614,10643,4.0,4.4015675,4.213979,5.2,5.2
5605,3621,4.0,3.8144512,4.4362693,3.7961924,3.527432
42903,2580,5.0,6.0934777,8.584351,6.75,6.75
4693,7205,4.0,4.508486,6.4829874,5.25,5.25
36370,11170,2.0,3.3080792,3.6822839,3.3608885,3.5801697
2135,5346,3.0,2.8163016,3.3449774,3.0240269,2.214416
38531,5393,1.0,2.0,2.0,2.0,2.0
40302,2112,1.0,3.9671636,5.062707,4.0,3.5714884
37394,362,4.0,3.0228486,3.371967,3.0,3.7223468
24031,3654,4.0,3.634208,5.1006107,4.75,4.75
37739,9459,4.0,3.7618356,4.890296,4.0553703,3.137507
2645,1539,5.0,5.5228963,5.336458,6.21,6.21
35243,933,4.0,3.6330934,4.5767813,3.9693375,3.1798623
37911,10777,5.0,4.8149877,7.4506598,6.17,5.702
10954,6958,4.0,3.5003307,4.4125957,3.264862,2.5963476
7964,4105,4.0,4.647508,5.1992188,5.3900003,4.0487056
13910,9574,5.0,5.3332405,5.255201,6.0200005,6.0200005
1284,5958,5.0,5.477823,6.8765783,6.75,6.75
33059,4902,3.0,4.6044216,4.6637692,5.3599997,5.3599997
15405,72,3.0,4.35,4.35,4.35,4.35
5443,10552,2.0,3.2864563,3.8725438,4.6099997,4.6099997
5526,6501,3.0,4.3849897,4.203563,5.2799997,5.2799997
25786,7633,4.0,6.0,6.0,6.0,6.0
11389,11353,4.0,4.780382,5.0386715,5.6900005,4.308517
33882,2580,5.0,3.9424553,4.5203023,4.080225,3.5336866
23576,8998,5.0,3.9571056,6.9458065,5.42,5.42
8890,2323,5.0,3.840188,4.6117716,3.8142705,4.2885623
21213,8290,4.0,2.9179459,3.1112378,2.7142856,3.6285715
23707,9391,3.0,3.2126698,3.9211583,5.24,5.24
36306,5332,5.0,2.7770963,6.1220317,4.25,4.25
26701,2865,5.0,5.62,5.62,5.62,5.62
39137,9743,5.0,3.603262,4.077347,3.0,3.5222561
16822,8126,5.0,3.9936533,4.477089,3.6837978,4.2102785
33273,11082,5.0,4.694984,5.5619164,5.0,4.7373137
30304,5799,2.0,3.5140843,3.747336,4.33,3.398
9969,10682,5.0,4.983111,5.7710967,5.75,5.75
19414,5040,4.0,4.407309,5.205889,5.54,5.54
37896,2560,2.0,3.0682259,3.9500992,3.3333335,2.4
27481,2505,4.0,5.109071,6.927271,5.9300003,5.9300003
28684,8302,5.0,6.33,6.33,6.33,6.33
7849,1393,5.0,5.2001133,6.329879,5.8599997,5.8599997
291,4905,5.0,6.123042,5.7897344,7.5,7.5
42278,3319,5.0,6.75,6.75,6.75,6.75
3996,7023,1.0,3.5353992,3.7032104,3.580019,4.0261726
4506,8905,4.0,3.650464,5.563114,3.392305,4.035383
41470,11487,5.0,3.7985067,4.3263135,4.0,4.4
25835,6931,4.0,4.4922385,6.7054276,5.25,5.25
40611,5499,5.0,4.848713,8.1558275,5.0,5.0
3187,3784,4.0,5.2593474,5.6654177,6.21,6.21
41490,431,1.0,4.565085,4.881486,5.3199997,4.392
34962,5265,4.0,4.985754,6.202141,5.75,5.75
40939,949,2.0,3.5727181,4.0048957,3.7446058,4.246763
41839,6903,4.0,5.058563,6.33764,5.95,5.17
10800,1555,4.0,5.006016,5.5324144,5.8199997,4.692
22632,7002,3.0,4.9957175,6.156973,5.3599997,5.3599997
42022,6842,4.0,4.9122562,6.000141,5.7,5.02
6531,3849,4.0,4.3753915,5.508264,5.2200003,5.2200003
9672,2533,1.0,2.5,2.5,2.5,2.5
10546,4917,5.0,4.6479383,5.729025,5.13,5.13
35182,1612,4.0,5.1422215,5.59774,5.87,5.87
7792,10556,5.0,4.9277472,4.768946,5.5699997,5.5699997
37666,2116,4.0,4.905844,5.0734124,6.0699997,6.0699997
19992,8530,3.0,3.6418533,4.256842,4.49,4.49
42790,3328,5.0,5.685361,5.453315,6.4000006,6.4000006
22465,6961,5.0,5.687885,4.7275205,6.21,6.21
22013,558,1.0,4.20547,4.773008,5.09,5.09
16255,8554,2.0,4.306966,4.410356,4.85,4.85
35647,1029,5.0,4.219819,4.9568043,4.259678,4.5558066
27231,6423,4.0,6.0,6.0,6.0,6.0
40655,6417,4.0,4.022902,3.999509,4.0,4.7040005
25412,6736,4.0,4.371689,4.667905,4.7355456,4.242796
11399,3784,4.0,5.3325353,5.6744127,6.04,6.04
41933,7355,4.0,4.069506,4.306059,4.18464,3.9348617
4708,8764,4.0,5.5337324,6.553343,6.13,5.2780004
33616,11321,4.0,3.9532743,4.3511147,4.0,3.0078962
13315,9628,4.0,5.1336026,6.9426203,5.9000006,5.9000006
16690,8635,2.0,3.965655,3.0559995,4.6800003,4.6800003
886,5363,3.0,3.997538,4.5955343,4.058652,3.4179146
25220,7055,4.0,5.0802712,5.292067,6.05,4.03
