24539,7638,5
40414,3039,5
25791,9152,4
30710,3365,4
32636,4825,5
3310,3554,5
11019,9916,5
2482,6971,4
24610,10386,4
32278,1935,3
5781,7361,5
26667,6352,3
6568,6835,4
5778,1541,3
20754,9508,1
38072,7251,5
24539,3533,4
12888,749,5
1279,1937,4
43506,6885,4
6522,7054,5
10661,2318,1
28346,9295,5
31957,8832,3
36165,1841,1
8986,9258,4
2999,3643,4
988,8021,4
15020,5149,4
20695,511,3
39091,11228,5
3659,6130,3
3177,6703,4
34001,447,4
1157,3181,4
15367,1976,4
25036,3814,5
20853,8691,4
23023,5762,4
8531,7870,5
990,4789,4
25098,8415,1
28598,1448,1
17465,8060,5
21540,8832,5
40841,7143,4
1082,10427,5
12407,3892,4
20326,8995,5
27543,3906,4
8890,7826,4
34132,4540,5
3999,4320,1
5162,263,4
23077,5975,4
40094,9471,1
25725,5920,4
12462,4819,1
25910,9534,1
27572,4259,4
16962,8910,4
32541,10017,5
12727,8242,4
39198,11395,5
40725,10556,4
43272,11163,5
37739,9471,4
35139,6958,5
31086,7054,5
955,10774,4
25254,1842,2
34001,1730,5
26245,2927,5
2522,4471,1
37405,6350,3
41240,9925,4
35489,2036,3
35753,5377,4
1789,3862,1
36516,7281,4
16433,2118,5
3828,8028,5
6098,3801,4
20987,1333,5
5778,4677,5
25587,8939,1
24162,6066,3
19994,774,4
1113,4076,4
31947,5946,5
30900,1289,3
33627,1673,1
39169,796,2
41809,8730,5
11811,1845,1
17779,11225,4
25372,9534,3
32935,4699,2
42923,5520,1
21213,3119,3
468,6879,5
3087,3551,3
42720,3907,2
583,6858,5
42857,9833,2
19585,4666,1
3676,5303,5
30982,1283,3
20751,6903,4
34972,2561,1
5605,10772,3
5778,293,4
37394,5371,5
27281,2993,3
10056,3562,5
6568,1935,3
37889,7990,5
886,10577,4
27588,8905,4
41163,1187,4
13549,9162,4
955,7251,5
41495,2842,3
1554,4637,2
33140,5722,3
73,8468,4
24869,6918,5
40194,4877,5
24683,2706,5
922,4404,4
7742,1869,5
37568,3252,4
7949,7332,1
14839,5279,3
14917,11073,3
1971,2199,5
32827,9925,5
27700,7920,4
5609,472,5
2828,4158,5
37509,4416,3
16178,8939,5
4345,10095,5
29322,9661,5
9186,653,5
15563,11020,4
29412,416,4
38107,9235,2
32697,6023,3
27840,10626,1
32951,10070,2
38601,4322,2
1598,1174,5
21257,8245,3
11547,7816,5
14418,6234,4
13911,5523,2
40479,10829,4
38963,4741,4
27188,10500,3
24943,9423,3
23583,2194,5
23385,8669,2
33140,774,5
12188,10608,5
316,1639,4
2135,6858,4
25503,11303,2
37100,6837,5
27370,7048,5
6498,10400,4
29349,837,4
32577,9382,5
15470,5055,5
19426,1591,3
26942,9291,3
41495,697,4
17116,1371,5
9353,9123,4
43167,2372,4
7998,4677,3
14131,11527,4
19696,7909,5
14741,8905,4
5906,2455,5
20467,10586,3
27956,8045,1
19497,5946,3
3648,10933,2
1126,10827,5
25412,2558,3
8219,3034,3
15628,9312,1
40954,492,5
29711,4838,4
10407,11156,1
38077,6063,3
23903,6558,3
16257,575,5
6233,6005,2
15367,928,3
35706,7355,5
4800,9914,4
29159,3737,4
32951,2606,5
28685,10854,3
28895,8393,1
39221,2022,3
42204,8723,2
41246,10714,5
24065,4259,4
27494,5510,3
6837,4655,3
18593,291,5
34218,6090,4
28330,9396,4
37861,1322,1
42672,2217,5
40352,160,5
23572,1029,3
33766,9385,4
29770,5939,3
19922,653,5
33840,5740,4
13148,4996,5
20794,9457,5
15755,10198,4
11530,981,4
24056,7078,5
35004,3398,4
26859,1105,2
5348,5793,2
9006,3261,5
20600,1639,4
35994,6524,3
24984,10466,5
32679,4204,4
3733,749,4
4793,3552,5
31888,6064,1
16255,7435,2
21242,7324,4
22561,8753,5
33860,2374,3
26414,480,5
28949,10374,5
39755,2130,4
20688,837,4
8545,10421,5
24065,4249,4
18966,6740,1
29147,6948,4
42857,2235,1
23033,9123,3
26576,11243,5
15367,7023,4
31620,11080,5
7573,7593,1
5309,11395,2
17109,8427,1
33439,8001,4
6781,2244,5
4744,9131,4
38535,697,2
28986,4696,5
7488,4250,4
4215,2865,3
27059,6720,5
38713,2923,5
28434,676,3
8052,3899,5
21314,4485,2
21860,4980,2
36064,1751,5
43471,7527,5
13726,1844,4
31969,6155,1
41343,1329,4
12765,9837,1
40020,9459,2
18689,6573,4
27544,263,4
23060,3161,4
43064,1135,2
20351,2829,5
17071,3253,4
28732,1635,5
41495,1513,4
32793,3014,3
35750,4020,5
22307,4677,5
5204,4623,4
8755,3724,1
43262,7952,4
43603,11156,5
19545,9382,5
32316,6807,5
10747,5279,1
12876,11047,3
41295,4860,4
33292,3048,1
32813,2505,5
40835,4416,4
15563,331,5
7092,11377,5
21548,4574,4
19569,8905,5
27909,7703,2
3915,1126,2
5275,11328,4
43360,1277,1
31926,4448,1
9353,8634,4
37401,697,4
27065,1733,5
27879,8542,2
10960,3490,4
37359,10199,4
5851,2812,4
14515,9443,3
352,199,5
10961,6606,5
6162,8354,5
22622,6327,5
5960,8201,5
17356,704,1
4080,9488,1
1982,4493,5
43506,6966,4
9614,8744,4
12769,8027,2
34180,5927,4
380,3185,5
6074,7968,2
33154,8137,4
35751,2240,4
17803,1955,5
4851,5379,4
10839,3398,3
37371,10662,1
675,2429,3
2330,3922,4
6089,5499,4
17521,4137,5
6330,7767,3
21671,1333,4
37115,6094,5
2999,1977,5
6568,6954,4
17055,4718,4
18318,7355,4
3035,3438,4
10253,1895,3
25503,2560,4
19595,7311,4
29744,10516,4
20365,5833,4
23901,2260,4
36290,8744,1
9776,2965,5
13344,6423,3
28036,2324,4
26623,3356,5
33053,1503,5
16822,1988,5
43836,5676,1
4596,1827,4
28490,3512,4
4332,3998,3
6312,8057,5
40524,2451,4
17770,10520,3
12837,454,1
41387,7075,4
28921,821,4
42940,3974,4
43368,4677,5
8699,220,4
13840,9553,3
