2407,108
43874,11538
43875,11539
33640,2992
193,4809
13901,11540
43876,5531
5349,949
43877,5369
34636,11541
31737,11542
43878,11543
11447,11544
5268,1994
43879,3850
12422,11225
43880,3971
4044,11545
10409,1955
43881,11546
2039,9569
11032,11405
29007,11547
13449,2499
43882,8905
14775,3386
38689,11548
43883,3691
43884,7422
43885,11549
38963,11550
6641,5963
43886,11551
43887,96
43888,11552
4494,10769
39624,7531
25503,9368
43889,8266
21468,10687
13525,964
33640,10315
13663,3850
43890,11553
43891,10785
43892,10862
43893,7260
8514,5545
30308,2844
43894,9524
43895,11554
30990,4069
11132,11555
43896,7869
43897,11556
43898,11557
40633,4026
27451,4907
27225,7075
43899,11558
19041,447
43900,10932
25704,11559
35155,11560
43901,8867
18864,2852
43902,11561
396,5499
36163,9648
43903,3944
43904,10610
38327,8485
19944,7064
15868,6993
43905,11562
43906,400
12407,4655
6116,1200
7830,7989
43907,11563
42772,9185
5358,11056
35325,818
43908,11564
31047,5920
43909,11228
43910,3590
11128,7854
4389,11565
36123,5872
43911,2865
22098,7493
7949,9661
43912,5369
43913,2844
18902,1965
43914,3497
43915,1383
23499,1621
43916,2842
43917,1927
17441,6903
43918,763
901,265
43919,776
43920,11566
43921,10893
43922,11567
43923,9423
22809,10534
43924,11568
4363,3969
23805,6241
23391,7312
43925,11569
43926,4439
27101,10729
13343,3180
31227,11135
17290,169
32077,3621
43927,10042
43928,2022
5349,8284
13901,11570
9026,3429
43929,382
26531,4069
43930,9131
43931,664
30793,6842
41970,8124
43932,4603
43933,11571
17132,660
43934,5839
16893,7494
40107,5034
43935,11572
15828,5569
43936,11573
43937,6071
43938,11574
43939,5279
43940,10500
24521,4677
43941,832
34371,9702
43942,7987
43943,4816
43944,6169
21954,2181
43945,11575
43946,11576
43875,3691
12685,10217
43947,8539
33273,4169
41295,3971
43948,4760
43949,11577
43950,3993
30990,6225
3131,9923
43951,14
11880,4017
467,9533
41253,11578
15420,11561
43952,7465
43953,8854
33188,3814
43954,11579
43955,4733
43956,11580
43957,10199
43958,3862
43959,11581
43960,1435
15533,4237
43961,2541
9276,1393
13007,11582
43962,6992
43963,11583
6732,653
1354,7459
43964,1328
43965,11584
4318,11558
43966,7047
43967,7635
11884,11175
43968,10566
43969,11585
41666,9836
43970,1900
30110,11561
43971,8423
19166,6918
886,9904
43972,11586
43973,11587
43974,749
34798,11588
14510,10386
43975,7952
40512,11589
35055,11590
3433,4084
42714,9256
43976,2235
8289,10441
7413,1513
1113,11591
43977,1529
36142,11592
43978,9094
29464,5267
41373,3253
43979,8744
28695,1566
20027,760
34970,1799
43980,10475
9722,7746
4159,6571
13549,2794
43981,11593
43982,9901
43983,3502
43984,11594
43985,8303
43986,11595
43987,11596
42758,1845
43988,2727
43989,8730
17453,3468
28546,9925
43990,2830
3334,317
43991,11597
33140,6162
26857,4277
43992,11598
