userId,itemId,realPref,svdPref,svdPlusPlusPref,userPref,itemPref
36384,5048,4.0,4.1244583,14.292544,4.33,4.5
24768,5051,5.0,4.6198025,6.748222,4.29,4.8803515
8724,5310,5.0,3.1790886,4.125175,3.25,4.5
16257,2580,5.0,4.141364,5.469947,3.910117,4.1510777
35900,9534,4.0,3.42,3.42,3.42,3.0
38692,7853,5.0,4.4222507,5.2752976,4.286037,3.9292548
4321,1869,2.0,3.7887866,5.2555237,3.79,4.0
37577,4627,5.0,4.6728735,7.34275,4.6339746,5.0
14074,8960,5.0,5.0,5.0,5.0,4.0
34371,10508,4.0,3.4310558,5.069609,4.04,4.539504
22024,749,4.0,3.4877226,8.683226,4.04,3.0701852
20430,11080,4.0,2.719202,6.948832,4.04,3.4480186
1104,10528,4.0,3.400429,5.1511645,3.55,3.5
27622,96,4.0,3.4720426,5.5343533,3.49,3.0
35614,10643,4.0,3.2764254,3.2756786,3.45,3.5
5605,3621,4.0,3.8724658,5.423644,3.9636638,3.1242912
42903,2580,5.0,5.392241,11.716903,4.75,4.0
4693,7205,4.0,3.5607855,8.852917,3.0,4.5
36370,11170,2.0,3.6329358,4.5687413,3.3608882,3.909091
2135,5346,3.0,2.596654,3.5525124,3.0294101,1.0
38531,5393,1.0,1.0,1.0,1.0,2.0
40302,2112,1.0,4.0031013,6.7721853,4.0,2.928721
37394,362,4.0,2.9450514,4.2072167,3.192361,4.8058667
24031,3654,4.0,1.9674666,5.8839884,3.25,3.0
37739,9459,4.0,3.4452035,6.2091846,4.0290256,1.7607117
2645,1539,5.0,5.3967166,5.2846165,3.71,5.0
35243,933,4.0,2.9220524,5.198021,3.8640275,1.9956491
37911,10777,5.0,3.0589752,9.500207,3.92,5.0
10954,6958,4.0,3.6688654,5.8577647,3.5168602,1.5935758
7964,4105,4.0,3.6370747,5.0003276,3.64,2.0367632
13910,9574,5.0,1.9487439,5.18493,4.27,3.5
1284,5958,5.0,3.7110143,6.992481,4.75,4.0
33059,4902,3.0,3.50305,4.3267817,3.36,4.0
15405,72,3.0,2.6,2.6,2.6,3.5
5443,10552,2.0,1.077675,3.2101088,3.61,2.0
5526,6501,3.0,3.5581498,3.2189412,3.53,3.5
25786,7633,4.0,4.0,4.0,4.0,4.0
11389,11353,4.0,3.5366943,3.9681644,4.7860613,2.2362921
33882,2580,5.0,3.7904,5.438347,4.082817,2.7138789
23576,8998,5.0,1.8164696,9.637131,3.67,3.5
8890,2323,5.0,3.7628121,5.4167547,3.8142703,5.0
21213,8290,4.0,3.181431,3.7561462,3.1669319,5.0
