"businessId","newBusinessId"
"rncjoVoEFUJGCUoC1JgnUA",1
"0FNFSzCFP_rGUoJx8W7tJg",2
"3f_lyB6vFK48ukH6ScvLHg",3
"usAsSV36QmUej8--yvN-dg",4
"PzOqRohWw7F7YEPBz6AubA",5
"gtQzAiy7D-dPU8WzT3jX3Q",6
"FrBCYtCS_jydDjg1KsIgWQ",7
"yaXAD-Mv2K2PEZobmqjIYA",8
"o3ehs4ZEdsizbJyB9_j7uQ",9
"qarobAbxGSHI7ygf1f7a_Q",10
"C1xciP65n4t4R1Q4h1zOHw",11
"gA5CuBxF-0CnOpGnryWJdQ",12
"acaBJcFEKPmmSDIO6c-ZGQ",13
"JxVGJ9Nly2FFIs_WpJvkug",14
"9iLiMm3Z9nepRDu1AhgEoQ",15
"G2Re2E5Jkv_UF1xrenSsDg",16
"8lTdJA9GK59-NzJwleSJBQ",17
"Jj7bcQ6NDfKoz4TXwvYfMg",18
"OMXAkiWyKz0AM6PwwuP38Q",19
"K0v87iFgB3sXSzw6e-BJ5w",20
"jcQgDviuCuJLJWjYoTy9MA",21
"QL3vFMAsEHqfi1KGH-4igg",22
"yOYFhiTjT-SM4spKtDk92w",23
"4IAzFJ159GEaIGX1-y6Bmw",24
"s02x9kPbZii-uw1x0Oyy6w",25
"e9JhcYEgNbRL8i8CTdQO2w",26
"MLAnvEcvDfOWELHUN_0xEw",27
"BtKwRZRMyTIi9BRFk-75sQ",28
"MwIM3O0p8V_y2ttXz0_xGw",29
"JHp5mJvYe6UtM_QsklR-iw",30
"O0ayL4r9AbonKwdgelBL3A",31
"sygb2W4NRadVXiWhW8bnFQ",32
"ECuS72VSRKpRRFToQiNQxA",33
"JvJjaTJCyUGu5SDpoJWvZg",34
"u9b49Z4JmvbP6KTe26lyoA",35
"j1Ql05L7wn_8GGLj3jHkWg",36
"507GX11jtCsVYlzaur05_w",37
"3ic0B872Tql7dwO4YRTDCw",38
"0EE3BohGb4lxWRnHLiqNnw",39
"GhC1V0MRGoma3MP0Gn28Fw",40
"pvJuii1d2CTQd9BF3gT_Sg",41
"-nPwp-pg-pTEO2nqo1h_lg",42
"reMYkuDhLk4raAviOFtvOQ",43
"MG1IbQUurcXn8NQgXGM34Q",44
"KqYY2rwD8ymjU9mVJwiuRQ",45
"idpRaOujsEvnI-LzDSKa6g",46
"vusJ2oza6-jzhzBTeae-OQ",47
"jvvh4Q00Hq2XyIcfmAAT2A",48
"BF0XhsT8mEv6gpxru_8Syg",49
"RtwOc-n_RkiUuDGaNfCsNw",50
"xWcTt1L4vQC_QkPfPBVlCw",51
"ldsiFlvSxBhuZHZxvzWPYw",52
"dLBqf9QayF9eSUzz6BvmSQ",53
"LSxO2ko3_5KODWKZLEm8FQ",54
"Y1eMoHPnhwoOcYsKxGl74g",55
"0YCV8260mMgN0PxuzAtO3g",56
"Wc4-mBb_8CTF5KoU8Fariw",57
"p4O4b0oZiV5oDhIDrCrgcg",58
"rksEr9GshBvBkV4vAQbruQ",59
"NtizlEdtnJX0tteMdZ-6tw",60
"z1CjVXv6M6RbWhZO1lIExA",61
"HLQUH1VAw4KbSV-IhxOPEw",62
"WNy1uzcmm_UHmTyR--o5IA",63
"A0-0oO2I-L4QF9BMi9duuw",64
"woihBX8gAaEDL4nWtao9dg",65
"aK8BF1xuYZVzUgi3qAn3Ug",66
"jl_2Ui3vC81bIwOCCQZI1w",67
"ejx-rekLkZ2RkNgSejf0pA",68
"aX2Js7hZBhBAzc8LeRs55w",69
"5Rtgv0oDqmKkIayIrjEjqg",70
"Xk41spRMMo2C7Nn8YQIL0g",71
"0BpMvu5B9fY-KEbOuxLtFQ",72
"bIOEv4Gc49SiFhYedmN7aA",73
"Q7Yo02l--O9KMWYYNukY0w",74
"jqZKv-7F54guDLalXEjHxg",75
"dzSPa5kkpQIRjMOHvDUF_Q",76
"SJMjlvbGDUGO9Elpkl4kew",77
"oD3K3aT52uNdLaYmGnRV8A",78
"rftGOyvbSAMOBTJWGhTLgA",79
"kIco4kv-FHT6QqdkDQ2cow",80
"YXQzFolTvipDSpTlUTd6Eg",81
"2qbajPD8M7PJlWWaHSRR5Q",82
"j559p_Yelp12W2W_gTvDaA",83
"tieXOBZlj01Hk_CR_sl0pg",84
"_0Eql3UB3K5-6q4IHNBbWA",85
"I98ESrTemwkaVIrN_USx4A",86
"1XiG4o4edRcoBcIrP209yg",87
"AoO0FJyUm01lmIJJTcPWEQ",88
"2k1I66IxKL9vJnRQhXWkDQ",89
"LNUx60j6DQAxJuikUiZNvw",90
"xKXahNKbBUZtOPWibwq94w",91
"1Nge1ObX93-y1AoXONt34A",92
"BmElzV6FNKvt2R7rI_gfvQ",93
"9W5zaqA_fdjTk127fioY0A",94
"eK6KGMKqU_4nB9RdayZD7Q",95
"umdxfhSlk67yGEi8-S-bEg",96
"aIpqc26pFPyEglBrs0k7EA",97
"mG5WTamjKzje897WkCXiTA",98
"k_yGJN2ynaUkzLTEzBWyLA",99
"ixxKknYQAGGpCE1LhmFg3A",100
"5hGkW5VddU07sI8DPfi-Bw",101
"imSAkSzL5X1rUc3Z1ZMYeA",102
"YowLDN2YEKVJpHv0Loqm5A",103
"l7WFICL6sLarCOHc0YFODQ",104
"HQFscafV3wi5z4yOKdUGRg",105
"JW1M3UOIopAA4C2y0Xt0wQ",106
"46Pklsv4V2dku7yY5rvhIw",107
"-sC66z4SO3tR7nFCjfQwuQ",108
"hBodj_f6adUAnEVUb_he_A",109
"fc7HNDbFpDlDWCGMh-c8lw",110
"1J1iid_qU__8_CxiS2Zw4Q",111
"Si4xIYKj7cbBou6Vkk0JJg",112
"OiQd6wkxOFx9k_EmRaJYTA",113
"6ZYt8IChJmH3Ra5IqnlivA",114
"bFm1ZmXPg0CVsc97sej_tQ",115
"y8a480EiwWikqlR1inkGxg",116
"JuQncODLNOhfSaa-5okpQQ",117
"qgVS6sBe7JNEI8otg0Y3dg",118
"2jCyo55dFgGzYpoIX8TwgA",119
"hyff2JyqQgf85MaJZslHCg",120
"3g2ofV7mhEoPyfF7vFMObA",121
"pXE8u5EBP_v1HbPnr0U6xQ",122
"Sy-hmzSH1OmWpHmAfZtxRA",123
"5BPuQsM1_CwVu7KiqIjyGA",124
"YPaxaQz2f5fyDYPnf5vlew",125
"9OjaTv86bO-YITbGhEq2XQ",126
"p2FoMPsKYDVkDrNv4mEESA",127
"qBc36uFI7orWS8NpYZCv_w",128
"-NGrzJp0dX5pK3qdGSaspw",129
"OhCRdO-4v4zV90TMbR7Qfw",130
"gKxOZvQTTd5hpFa3r5igGQ",131
"7IBQ6DomcORtlwCO1QNxBA",132
"NbjyUsShOLe1rA-nnin-bA",133
"ehy9Vy1BKc9shO74chuUAQ",134
"6lcay-E_ssmzpGanKbColg",135
"9kue6njdYLYAr-ve65L0NA",136
"sH17KGxbMVrlr66n92Qh8g",137
"FURgKkRFtMK5yKbjYZVVwA",138
"IRy9-pB3mQ4V7RYWsKrJfQ",139
"TOh-zfgSDJwLgEsf1NSkPQ",140
"9H1PBcxPxicokgj8RJ4L8A",141
"Fb_mZcgCgvK60E3hymcpyw",142
"OwHqwmHwswArpv3m3dlw_Q",143
"bXsdiL4-hkuma798RUzD7w",144
"kMxYp2GZL5ic6b05gPP57Q",145
"bzXDUQ-5Odzx5WZNoSoANg",146
"KHeM4cO2DWK1C09zWCFLFQ",147
"0db71MbrvcJnyk71COCJBg",148
"sOvmVhQqKqJus67S10jw0g",149
"jnZ9cGeh1cj1LSYctKprfQ",150
"gWP6ofoyTbK0SZj1i_XqNQ",151
"oQkJJykinMTUdB9hPHUq_A",152
"DflKgFbxt9VuqjSoI21XFQ",153
"WVs0Q355wHQ4d1KZOHReZA",154
"hFTOvDYB5ap59uFgxBQrDg",155
"4acfPIJdTn239qGeXLrzFw",156
"8HmSt7fRFe-uH6i4yCmJQQ",157
"qdA4qiSXjaiuqO4SueH9VA",158
"qnKX52X6N9tp5qcK3QankA",159
"Fy75nbQSylmO3UGCSedaZg",160
"3VTBObOAUyDQfpsndTz_pg",161
"Hls6Cl5Wo8f1FS5ZDtntXA",162
"l_f5t6TOoNAl7QAkHMr_Bg",163
"ZsLq6mPkGknPcZ-u4a_Rvw",164
"h-9z4dgdEghdPLeDMLpDYA",165
"In93N5Jqu85xAh0qQ2jb1w",166
"PqZf-DZyyXopkaEv8FrIIQ",167
"4r9BfViVzFsN5W-ClcvuZQ",168
"8fLdtZp0q8TjVTsqfV6byQ",169
"nih6RQC-HttWiO28HOcfOA",170
"x4N7KH4hLtHga269T3EOBw",171
"3jqOv6re-xPYOg7srmi7tg",172
"xLCbkTYQaP-nij6mEfaw7A",173
"V8QNpf_QtpTT5IEoILUKCA",174
"Y34FJbdf6DuRAJ0k12yPnQ",175
"ZHuJrSE9n9rhAnUIGVyYzA",176
"0vHJbmk2q6tSxw-sMD8LAQ",177
"-SfUBPZcJ6uw2cVlc6dk-Q",178
"h_FP6Lho52MIorjH8GuerQ",179
"rSZj7lgBxREaMhGMnjuZ3g",180
"kN8792XEJfCtpD5GJLmI6g",181
"03m0CGFwEInR8ZBGrqmO7w",182
"9mfec4ySQpW8doGs3FUP2Q",183
"yLa-Qp45lqfwdebh65L3HQ",184
"lnX2gaGdO0fNtykyFrp1AA",185
"JuyVq7GwY5EZ_gL5cGfPiA",186
"oRwWdpARqCjam6k_za8wOA",187
"um2sEf_ITsCc536kPQ6Umg",188
"Q87G5ezBUhqjQ1xHfZ3fSA",189
"Xn06AozwcTvUPFNkknbgnw",190
"WxLMUX59m6sSszVNLnHDEw",191
"qAORECtABjr_FsvSzy1apw",192
"-yPdEze6bYRV2Sm1t4XJhg",193
"aZFxdrDmfO10e3k2LNNFPw",194
"FXLttunbk-KW--bUK5CRXg",195
"EuNV8_SReV_3KeET2Ums6A",196
"QQ-lSbz4ARm1MQA5z8-nAw",197
"qiiQoiOsaxXOR1nUxo5WAw",198
"UKgSs_SJzW9fu4CwhIV1yA",199
"sqmdFdEXk8DoCnjRvEh90Q",200
"_dVPzYGXKNg2rIsc40VtyA",201
"x0NOgX6P4x-82cC0kcO1hg",202
"Dim6R6ki5Z_05bk_V1htbQ",203
"lDwHtEVlak5lVrXi2FImPA",204
"WeD2fAdaf44CcDeS2xuEWw",205
"4bhJ2kl1WVnNQeH3xJgz6A",206
"xxSq7BBoCwUHnaxMMgF5mg",207
"e8Eke5v8pXw-PuRCu2uPjg",208
"jNVnU8t7ydme5wKlfFV2yQ",209
"ti3-TiY1y6X8-VJMGNMJnQ",210
"4bi6m2WWnSUnQzR4xLF5BQ",211
"F0UDUKUcEbK5xqgJt_q46g",212
"61Yk_UEcDAd-IBu6wzBc8A",213
"Edj0quZE5k1WcAtf883j6w",214
"JUe_TAe9T9MZXutb5fblDg",215
"lVkDZZ8sTafPlq7f1i5row",216
"u2hGxSbpIOZZ3KliIELuTQ",217
"dHWEaIOAJkh3hkM0izme8w",218
"SDs4eWoV-cpJystzTAH0qg",219
"cof7qW-PD0M7Jykclg48oQ",220
"o0snahBUg0DYC5PIM0bz3Q",221
"pjW7mFHc2uvQ1Dgx5HFQ4Q",222
"nJ6xBHPwEBsd3S1fOU2jdw",223
"iJDuP99y1epu3LiIgNiqsw",224
"cfy-C6XNFt-F-dCQfK7EDQ",225
"eu7F8Gv9v5TmrcgUQVvdCw",226
"-_JBgygYYD_UkuD-GVTp6A",227
"mg1TiyXVneuVsZ6GGZH_kQ",228
"LeTMz4hrsdHhiS-vNBj82A",229
"jF7R5nxyGiwPM5Q7xLfD5g",230
"gXNTw5Ub9Mf1oh_ZSe7LhQ",231
"DUZyazpBziX1v3qGZz6PrQ",232
"dt0z8feRxhQ6JEAWpLfukQ",233
"SJgeGP4-P6yVH05WmL1FPg",234
"-9pVS__IliMA2aNEYzrQrg",235
"LhJYC2PwzIIn0pMBW4K44w",236
"3yfS1y8bx9MpKXbY56L7BA",237
"wzQAmzQopWcfoCG8lfiE_w",238
"Gw8DsQQCO5m1hggXqwynFg",239
"wIHOvreNKWa2_vhM2dyjug",240
"zwHM6hz8swKIG-4-BSKMPA",241
"mPt8G-DMFpCAwVTN1bg7bw",242
"Q5diW79GD0MSJ10j1HCf8Q",243
"FWIvOa28jn15bvKIqqYgvQ",244
"Hguhh5iEZvw2vhkIFdCRPQ",245
"vtbGnxCCj2I9M9QoHXpoEw",246
