"","svdPref","svdPlusPlusPref","userPref","itemPref"
"pref1",0.794883552032631,3.44400905024943,0,0
"pref2",0.794760346704302,3.44065177558552,0,0
"pref3",0.802987754998298,3.21515161698006,0,0
"pref4",0.792829651290353,3.50343008300284,0,0
"pref5",0.795759730553657,3.4188709712184,0,0
"pref6",0.793021753161704,3.46829213717036,0,0
"pref7",0.804110946401026,3.21128170343034,0,0
"pref8",0.751439130001702,3.19940171447903,0,0
"pref_h",0.401431495394138,1.61358019587322,0,0
"pref_h_w",0.321526122203036,1.3015676402528,0,0
